"Fecha","Abrir","Máx.","Mín.","Cerrar","Cierre ajustado","Volumen"
"11 may 2026","15,34","15,34","14,64","14,75","14,75","77.462"
"1 may 2026","16,63","16,83","15,25","15,51","15,51","891.400"
"1 abr 2026","14,72","19,42","14,18","16,67","16,67","2.641.600"
"1 mar 2026","16,38","16,75","14,04","14,57","14,57","2.359.700"
"1 feb 2026","15,24","17,39","14,86","16,48","16,43","2.445.400"
"1 ene 2026","16,75","17,56","14,83","15,45","15,40","3.105.100"
"1 dic 2025","15,19","17,89","14,71","16,83","16,78","2.904.400"
"1 nov 2025","14,63","15,76","13,90","15,22","15,12","2.776.200"
"1 oct 2025","14,70","15,65","14,22","14,58","14,49","3.085.600"
"1 sept 2025","13,37","15,20","13,15","14,70","14,61","2.965.000"
"1 ago 2025","16,22","17,24","13,08","13,46","13,33","5.188.800"
"1 jul 2025","15,25","16,58","14,28","16,39","16,23","4.880.200"
"1 jun 2025","16,20","16,53","14,63","15,41","15,26","6.469.100"
"1 may 2025","17,41","22,40","15,63","16,30","16,14","8.963.700"
"1 abr 2025","16,23","20,16","14,55","17,00","16,83","7.504.800"
"1 mar 2025","16,42","17,77","13,30","16,65","16,49","6.250.500"
"1 feb 2025","16,29","19,18","14,45","16,06","15,90","5.493.100"
"1 ene 2025","15,50","16,99","13,25","16,99","16,82","5.247.300"
"1 dic 2024","17,20","18,08","14,64","15,19","15,04","8.164.800"
"1 nov 2024","10,62","16,98","10,26","16,75","16,59","6.924.000"
"1 oct 2024","9,10","10,97","8,45","10,62","10,52","3.206.300"
"1 sept 2024","8,84","10,35","8,25","9,15","9,06","4.031.200"
"1 ago 2024","7,03","12,41","6,26","8,72","8,64","4.797.400"
"1 jul 2024","4,87","7,98","4,65","7,06","6,99","1.259.800"
"1 jun 2024","4,78","5,08","4,64","5,00","4,95","476.900"
"1 may 2024","4,62","5,23","4,01","4,82","4,77","703.100"
"1 abr 2024","4,40","4,82","3,93","4,50","4,46","423.600"
"1 mar 2024","3,87","4,50","3,58","4,45","4,41","541.000"
"1 feb 2024","3,23","4,00","2,97","3,77","3,73","593.700"
"1 ene 2024","1,97","3,35","1,97","3,21","3,18","260.000"
"1 dic 2023","2,59","3,01","1,95","2,13","2,11","627.200"
"1 nov 2023","1,99","3,39","1,67","2,56","2,54","553.400"
"1 oct 2023","1,81","2,02","1,60","1,96","1,94","159.000"
"1 sept 2023","2,00","2,00","1,51","1,79","1,77","476.200"
"1 ago 2023","1,12","2,17","1,04","2,04","2,02","876.300"
"1 jul 2023","1,31","1,39","1,12","1,14","1,13","208.400"
"1 jun 2023","1,36","1,46","1,13","1,17","1,16","255.200"
"1 may 2023","1,31","1,62","1,09","1,28","1,27","497.400"
"1 abr 2023","1,34","1,34","1,12","1,29","1,28","204.600"
"1 mar 2023","1,39","1,54","1,09","1,34","1,32","282.200"
"1 feb 2023","1,68","1,75","1,15","1,36","1,35","236.500"
"1 ene 2023","1,32","2,05","1,32","1,69","1,67","348.300"
"1 dic 2022","1,00","1,86","0,95","1,35","1,34","2.014.600"
"1 nov 2022","2,13","2,31","0,69","1,01","1,00","3.508.900"
"1 oct 2022","2,70","2,78","2,14","2,14","2,12","418.500"
"1 sept 2022","3,87","3,94","2,62","2,66","2,63","318.100"
"1 ago 2022","3,60","4,60","3,34","3,93","3,85","541.100"
"1 jul 2022","3,87","3,99","3,48","3,59","3,51","145.400"
"1 jun 2022","4,60","4,79","3,53","3,94","3,86","136.100"
"1 may 2022","4,27","5,34","3,95","4,47","4,34","449.300"
"1 abr 2022","5,25","5,32","4,18","4,21","4,09","146.100"
"1 mar 2022","5,30","5,43","5,01","5,32","5,17","230.600"
"1 feb 2022","5,52","5,86","4,95","5,30","5,11","144.200"
"1 ene 2022","5,01","5,94","4,06","5,42","5,23","241.200"
